filename,L,A,B,cluster
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00076.jpg,98.96463472089242,136.46812261584523,126.65631696530342,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00077.jpg,105.19831919572731,141.87263064195204,128.74541836841553,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00078.jpg,108.7622111233387,146.83810813752405,138.3330350340424,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00079.jpg,87.91158865156139,142.92014542621567,138.37149905862495,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00080.jpg,144.28198018685265,139.7246649247138,130.70894035377935,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00081.jpg,115.16664088283828,152.4264129537954,135.4770008250825,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00082.jpg,140.71703076058148,150.93733435065457,132.92837924664687,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00083.jpg,124.33446487944384,153.85268199679138,134.92450417354507,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00084.jpg,134.69559624319328,136.20199080781336,125.11672578308438,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00085.jpg,142.40026991431034,148.75465439586347,132.69299686183965,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00086.jpg,116.97224270868253,149.24320035758186,144.53183595932506,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00087.jpg,128.6463745172819,153.2053920510422,134.64052193518984,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00088.jpg,104.73215478045213,145.52497535849417,134.51184382054623,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00089.jpg,117.63738150724537,143.86543077920484,128.55183893746386,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00090.jpg,113.402901223317,149.64743596616313,138.17831909167907,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00091.jpg,121.07094353109363,155.54740631063004,135.91953436127847,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00092.jpg,94.38513762821933,150.05741273706738,138.2455021769611,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_test_00093.jpg,124.46809518439156,150.01766099018835,137.30731927371153,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00000.jpg,130.4324795148074,151.794674925264,133.96483644106073,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00001.jpg,97.14727617174508,146.27384343952914,136.9907880085034,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00002.jpg,137.1315106365018,158.8920521695087,146.69489701164952,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00003.jpg,150.51963073386256,146.38517906534,140.13775638492763,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00004.jpg,119.38997928665252,140.9708244922704,139.07012225927048,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00005.jpg,140.91375942638152,141.18798368154285,129.13845963654344,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00006.jpg,127.08583207801475,149.18750495520496,148.22056608261317,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00007.jpg,114.38973763862802,158.19406127747138,141.29808463038512,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00008.jpg,110.16163190398508,147.19549638778838,141.85543870892565,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00009.jpg,79.926990189128,142.665389804926,138.0738902737439,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00010.jpg,138.85936719677716,136.8416105297036,133.59954276582286,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00011.jpg,168.9534479591981,136.66058688066008,135.54455291674319,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00012.jpg,102.01261857884374,150.4938249507786,142.22079529860986,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00013.jpg,117.92769846735692,143.31492138346425,126.20562864046505,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00014.jpg,98.1900428318479,142.96639727775414,141.9438240036402,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00015.jpg,130.33665839707808,151.96364826683205,134.43821928192406,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00016.jpg,131.87483681044412,150.10153590170228,133.08804556508383,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00017.jpg,132.59055337528736,149.84090750760512,136.21812228595314,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00018.jpg,98.33261359870875,143.28048272102444,140.33161950979658,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00019.jpg,97.79100166526666,149.19205093063354,131.5710833075438,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00020.jpg,121.31134675422543,163.7962966950156,161.7551189579072,3
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00021.jpg,107.10655311814875,143.67515745985884,128.34456145686804,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00022.jpg,46.450481612866575,138.31294105765468,133.51381717647357,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00023.jpg,109.7865471952866,133.77410089603535,122.49165336933841,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00024.jpg,95.72159764261234,147.97064475833574,146.44582172255852,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00025.jpg,153.3997614183269,138.38729758264662,135.17011970218425,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00026.jpg,129.2912090071326,140.20439942624722,127.43473562179474,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00027.jpg,124.73412992366904,145.4419143933782,140.3700280202261,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00028.jpg,119.48537519464669,151.2790707461807,137.11531501199445,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00029.jpg,120.85250327856207,154.16837666178097,137.312736249325,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00030.jpg,150.4640587627553,139.72469818984672,131.04977567686146,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00031.jpg,112.7374821517383,149.16778168166724,135.28902151417432,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00032.jpg,78.11116795336868,141.63983195361672,137.492899885282,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00033.jpg,112.75827554625147,142.9002747612194,128.17355750359806,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00034.jpg,95.38632001968342,143.98184204051506,136.73957188550807,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00035.jpg,120.62478763567721,145.87318310523833,131.4997876356772,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00036.jpg,124.66928283548991,149.22371136008638,134.218793991168,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00037.jpg,132.8489374486505,138.5733730640474,145.5387803651792,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00038.jpg,132.57143776685905,153.66940588323644,135.3086231681936,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00039.jpg,115.75845304330515,144.4534833768166,129.93406259495595,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00040.jpg,137.7823224692424,152.10903662133967,133.32441182818908,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00041.jpg,135.97056128175294,138.06824757766407,127.94694028851798,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00042.jpg,127.49506245301865,148.15687909960562,138.82083758096238,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00043.jpg,108.61469963463335,133.792726654771,128.86692157362563,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00044.jpg,134.0753594809446,145.48756429740473,139.08066401683422,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00045.jpg,124.0543965015134,139.3390113719911,125.05105460656348,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00046.jpg,131.73689404355346,142.87319820818735,133.10213110391626,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00047.jpg,131.4399441503287,141.37131886671708,136.65774623305603,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00048.jpg,109.44278299555116,152.04695996045476,136.44774674575712,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00049.jpg,115.08666863949101,141.21508717417572,126.10892456412913,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00050.jpg,105.80600201361007,149.07216244738535,137.40878710319146,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00051.jpg,118.2084918516836,147.48529328260747,138.51926352847653,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00052.jpg,122.01362479234143,141.71309055706277,131.4410369184066,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00053.jpg,110.24937652687296,145.89857746335505,134.7173121946254,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00054.jpg,103.16287067610477,144.64829681516568,134.69788908463704,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00055.jpg,113.55059674857975,140.56285915423783,136.1738183723253,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00056.jpg,123.99856555417423,151.1261356029454,135.45373912211915,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00057.jpg,136.4416067739898,147.8635812690988,135.15369513631632,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00058.jpg,125.52581748365033,161.18906821863564,139.07155456890862,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00059.jpg,155.16303409453755,154.46075521233695,145.56860890029446,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00060.jpg,128.56936142715378,136.55700306939605,133.15604301770097,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00061.jpg,134.4087741889961,152.87203866711354,133.89458272327965,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00062.jpg,115.70385637576612,147.89089873623692,140.53677387861364,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00063.jpg,89.52956457596134,143.91050982991416,134.24803027549416,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00064.jpg,97.9169292015122,146.62830793905374,133.7513890480009,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00065.jpg,119.61498211487864,153.3840127708635,135.92878469861353,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00066.jpg,120.94425387106914,140.13863415834143,136.1364201664594,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00067.jpg,141.01469766186705,142.324813508356,135.5397945218682,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00068.jpg,97.45967632258942,138.39783081735345,150.2548789609683,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00069.jpg,117.23169732755385,152.0361275128844,144.30721185023378,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00070.jpg,145.14563211919096,153.49609121226558,137.30933561436183,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00071.jpg,138.81425438596492,151.91014254385965,132.20370065789473,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00072.jpg,140.62192073496422,148.37656233308408,131.5095823095823,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00073.jpg,99.70375836407979,146.62440122568944,142.35199799887437,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00074.jpg,148.22475886194974,140.68302226356337,134.96082138596242,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00075.jpg,116.03777872990443,143.39542855013877,140.99666548685755,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00076.jpg,135.60209237268782,142.19564969171043,137.13369205298014,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00077.jpg,124.60152207542808,148.7527872117214,134.07766852184426,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00078.jpg,154.7607927978226,142.93640868169447,140.78817782120177,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00079.jpg,112.99590674261492,145.5448933633594,137.49716518744205,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00080.jpg,80.72838410376578,142.18099836682526,136.61458259367086,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00081.jpg,120.04987087569754,141.42366315713434,130.8833817925704,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00082.jpg,119.88384743996704,143.23180837917081,134.4654098718166,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00083.jpg,129.54494708357535,143.60660498987008,133.7827805562246,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00084.jpg,99.7389059787409,139.9147047178144,132.32133828769835,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00085.jpg,121.20351996009762,143.70796444412775,140.68405864225022,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00086.jpg,141.9887334406339,149.789476290702,131.58618298873344,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00087.jpg,120.67611228553169,144.35841895678678,136.9273585369451,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00088.jpg,106.45237123396005,140.5897216765734,133.08232352866145,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00089.jpg,103.40627276561482,148.85004409340132,128.6574134427361,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00090.jpg,78.63029505618317,143.74526261663868,136.28469670160155,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00091.jpg,115.34831755614982,144.97225731301165,135.34662772956213,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00092.jpg,97.97797233300099,146.42597208374875,134.90076645064806,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00093.jpg,117.37448299193522,139.60576429888795,134.21686510318335,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00094.jpg,103.88640640761206,143.6076542057482,132.86495234940756,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00095.jpg,127.88207857254656,142.39862263264988,133.45094694005323,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00096.jpg,85.98538592840274,140.62679168517784,126.90499684336054,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00097.jpg,111.86940437752503,152.06464069573119,148.98419677770025,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00098.jpg,135.46077092256047,144.44074545665006,129.22234054867462,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00099.jpg,124.03870764457803,132.98563914877116,125.17977119588929,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00100.jpg,132.24546101490793,151.8848968122183,134.76211156323558,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00101.jpg,110.02425648295316,143.08292166043788,131.65027134613456,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00102.jpg,128.58305753564156,141.36195264765783,137.92852596741344,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00103.jpg,123.34235315979817,142.15002072701802,135.2658919050274,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00104.jpg,98.4068511940351,145.6035768297401,128.94773678472197,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00105.jpg,111.9661638395859,141.67619035536214,130.7645297572982,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00106.jpg,118.32238603664159,148.5285700001111,136.84531203128645,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00107.jpg,124.80872773652804,146.02109051154738,139.64987321398746,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00108.jpg,140.6170939431931,140.9018200683066,118.3381464989264,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00109.jpg,99.1587165600873,132.9374292445614,130.83361380534222,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00110.jpg,84.34190292456523,135.75866744953308,135.7212016999385,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00111.jpg,126.77347829809092,146.54098298281158,132.8200211169135,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00112.jpg,130.47240296882006,135.99829777887598,132.51229534451673,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00113.jpg,145.8004101161996,140.81265453195277,133.41036935773778,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00114.jpg,123.59868489937804,136.13209641279082,133.870625929261,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00115.jpg,120.71761653363124,150.46815257932576,142.96963909259625,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00116.jpg,105.11829270584697,149.8442780085327,137.38828537598437,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00117.jpg,122.36603357001279,151.5062724239155,136.56296259126376,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00118.jpg,126.65151055766107,141.47315646995128,130.14216567406606,1
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00119.jpg,126.62413492176242,152.16873338339457,135.3510644775029,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00120.jpg,112.85900749784598,141.98082457973564,140.12080881409375,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00121.jpg,99.65714372967278,154.29700264158433,145.53308088134247,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00122.jpg,106.3863208600504,151.332551759339,137.4513669569656,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00123.jpg,92.13555672268907,156.83350840336135,137.87939425770307,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00124.jpg,114.8911936463443,144.34124036440085,136.40357393132444,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00125.jpg,96.2210460610159,141.82012536086765,137.0407682904627,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00126.jpg,144.16859648272856,138.03635967249647,135.4609151688387,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00127.jpg,85.83618588315467,147.50301417974995,136.67760071291903,2
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00128.jpg,123.17437506325271,148.0963754391545,141.39066317752685,4
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00129.jpg,120.25213741846626,145.04241054026662,130.69193887892726,0
../Static Analysis/Data/extracted\test_visualization_toothmarks_train_00130.jpg,104.37130517155565,142.3691055344155,136.12086765248944,0
